gc_obo_gare_origine_r_code_uic_c,gc_obo_type_c,gc_obo_gare_origine_r_name,gc_obo_nature_c,gc_obo_nom_recordtype_sc_c,date,gc_obo_date_heure_restitution_c
0087384008,"Porte-monnaie / portefeuille, argent, titres",Paris Saint-Lazare,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-31T17:00:40+01:00,2023-01-01T11:59:12+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T16:52:49+01:00,2023-01-02T19:08:16+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T16:48:01+01:00,
0087384008,"Clés, porte-clés, badge magnétique",Paris Saint-Lazare,Clé de voiture,Objet trouvé,2022-12-31T15:37:32+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à dos,Objet trouvé,2022-12-31T15:26:00+01:00,
0087113001,"Bagagerie: sacs, valises, cartables",Paris Est,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T15:22:40+01:00,
0087384008,"Bagagerie: sacs, valises, cartables",Paris Saint-Lazare,Sac à dos,Objet trouvé,2022-12-31T15:01:18+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2022-12-31T15:01:12+01:00,2023-01-02T17:46:30+01:00
0087384008,"Vêtements, chaussures",Paris Saint-Lazare,"Foulard, écharpe",Objet trouvé,2022-12-31T14:50:09+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à dos,Objet trouvé,2022-12-31T14:46:05+01:00,2022-12-31T21:09:02+01:00
0087384008,"Vêtements, chaussures",Paris Saint-Lazare,"Manteau, veste, blazer, parka, blouson, cape",Objet trouvé,2022-12-31T14:44:36+01:00,
0087686006,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,"Clés, porte-clés",Objet trouvé,2022-12-31T14:28:05+01:00,2023-01-05T14:57:50+01:00
0087271007,Articles médicaux,Paris Gare du Nord,Appareils respiratoire avec ou sans protection,Objet trouvé,2022-12-31T14:08:07+01:00,
0087384008,"Porte-monnaie / portefeuille, argent, titres",Paris Saint-Lazare,Carte de crédit,Objet trouvé,2022-12-31T13:59:19+01:00,2023-01-03T11:18:37+01:00
0087391003,"Clés, porte-clés, badge magnétique",Paris Montparnasse,Clé de voiture,Objet trouvé,2022-12-31T13:43:36+01:00,2023-01-03T11:13:57+01:00
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,Tablette tactile,Objet trouvé,2022-12-31T13:27:48+01:00,2023-01-10T15:18:54+01:00
0087391003,"Articles de sport, loisirs, camping",Paris Montparnasse,Bâton de marche,Objet trouvé,2022-12-31T13:22:04+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à dos,Objet trouvé,2022-12-31T13:08:50+01:00,2022-12-31T13:13:17+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T13:05:51+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T13:02:30+01:00,
0087686006,"Vélos, trottinettes, accessoires 2 roues",Paris Gare de Lyon,"Casque (vélo, moto)",Objet trouvé,2022-12-31T13:01:13+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T12:57:40+01:00,
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,Sac à dos,Objet trouvé,2022-12-31T12:45:36+01:00,
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-31T12:43:56+01:00,
0087384008,"Porte-monnaie / portefeuille, argent, titres",Paris Saint-Lazare,Carte de crédit,Objet trouvé,2022-12-31T12:18:32+01:00,2023-01-03T11:21:53+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Valise, sac sur roulettes",Objet trouvé,2022-12-31T12:12:37+01:00,2022-12-31T12:18:38+01:00
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,"Ordinateur, ordinateur portable, notebook",Objet trouvé,2022-12-31T11:51:12+01:00,2022-12-31T13:21:35+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-31T11:46:45+01:00,2023-01-05T18:28:10+01:00
0087686006,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,Clé de voiture,Objet trouvé,2022-12-31T11:36:38+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Valise, sac sur roulettes",Objet trouvé,2022-12-31T11:26:35+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,Autre pièce ou papier personnel,Objet trouvé,2022-12-31T11:21:35+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2022-12-31T11:15:41+01:00,2023-02-26T11:56:28+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,"Valise, sac sur roulettes",Objet trouvé,2022-12-31T11:13:23+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T11:13:00+01:00,
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-31T11:10:27+01:00,2023-01-04T08:36:18+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à dos,Objet trouvé,2022-12-31T11:09:47+01:00,2023-01-06T18:13:06+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-31T11:03:18+01:00,2023-01-05T09:59:18+01:00
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,"Disque dur externe, clé USB",Objet trouvé,2022-12-31T10:59:24+01:00,
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,Carte de crédit,Objet trouvé,2022-12-31T10:57:09+01:00,2023-02-01T15:50:02+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,Sac à dos,Objet trouvé,2022-12-31T10:56:58+01:00,2022-12-31T13:39:30+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,Carte de crédit,Objet trouvé,2022-12-31T10:50:38+01:00,2023-02-01T15:57:06+01:00
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-12-31T10:06:55+01:00,2022-12-31T11:35:46+01:00
0087384008,"Vêtements, chaussures",Paris Saint-Lazare,"Foulard, écharpe",Objet trouvé,2022-12-31T10:00:40+01:00,
0087271007,"Appareils électroniques, informatiques, appareils photo",Paris Gare du Nord,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-12-31T09:41:10+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-31T09:37:35+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sacoche ventrale, banane",Objet trouvé,2022-12-31T09:34:14+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-31T09:32:19+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T09:28:58+01:00,
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,Sac à dos,Objet trouvé,2022-12-31T09:27:50+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T09:26:27+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T09:23:34+01:00,
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,"Valise, sac sur roulettes",Objet trouvé,2022-12-31T09:17:04+01:00,
0087384008,"Bagagerie: sacs, valises, cartables",Paris Saint-Lazare,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T09:14:23+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Valise, sac sur roulettes",Objet trouvé,2022-12-31T09:00:01+01:00,2023-01-16T15:51:02+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,"Valise, sac sur roulettes",Objet trouvé,2022-12-31T08:55:08+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-31T08:44:14+01:00,
0087547000,Divers,Paris Austerlitz,Autres divers,Objet trouvé,2022-12-31T08:30:26+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-31T08:25:19+01:00,2023-01-23T19:59:47+01:00
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-12-31T08:18:32+01:00,2023-02-07T21:28:06+01:00
0087384008,"Bagagerie: sacs, valises, cartables",Paris Saint-Lazare,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-30T23:52:46+01:00,2023-01-28T16:50:26+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à dos,Objet trouvé,2022-12-30T21:09:31+01:00,
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-30T19:46:09+01:00,2023-02-17T17:49:48+01:00
0087686667,Divers,Paris Bercy,Autres divers,Objet trouvé,2022-12-30T19:32:25+01:00,2023-01-02T10:56:23+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,Sac à dos,Objet trouvé,2022-12-30T19:10:16+01:00,
0087686006,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,Clé de voiture,Objet trouvé,2022-12-30T17:44:06+01:00,2022-12-30T18:32:30+01:00
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,"Tablette tactile protégée (étui, housse)",Objet trouvé,2022-12-30T17:37:13+01:00,2022-12-30T19:33:43+01:00
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,Téléphone portable,Objet trouvé,2022-12-30T17:36:57+01:00,2023-01-30T10:49:14+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,"Nécessaire, mallette de toilette, sac de maquillage",Objet trouvé,2022-12-30T17:18:30+01:00,
0087686006,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,"Clés, porte-clés",Objet trouvé,2022-12-30T16:53:44+01:00,2022-12-30T17:39:53+01:00
0087686006,Articles médicaux,Paris Gare de Lyon,Appareils respiratoire avec ou sans protection,Objet trouvé,2022-12-30T16:43:50+01:00,2022-12-31T07:26:39+01:00
0087391003,"Vêtements, chaussures",Paris Montparnasse,"Manteau, veste, blazer, parka, blouson, cape",Objet trouvé,2022-12-30T16:40:59+01:00,
0087384008,"Clés, porte-clés, badge magnétique",Paris Saint-Lazare,"Clés, porte-clés",Objet trouvé,2022-12-30T16:35:15+01:00,
0087384008,"Bagagerie: sacs, valises, cartables",Paris Saint-Lazare,Sac à main,Objet trouvé,2022-12-30T16:20:38+01:00,2022-12-31T12:02:48+01:00
0087384008,"Bagagerie: sacs, valises, cartables",Paris Saint-Lazare,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-30T16:13:20+01:00,
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,"AirPod, casque audio, écouteurs",Objet trouvé,2022-12-30T15:54:16+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-30T15:33:24+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Valise, sac sur roulettes",Objet trouvé,2022-12-30T15:21:12+01:00,2023-01-10T16:54:35+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sacoche ventrale, banane",Objet trouvé,2022-12-30T14:45:24+01:00,2022-12-30T19:41:51+01:00
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,Autres appareils et accessoires électroniques,Objet trouvé,2022-12-30T14:17:12+01:00,
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,Téléphone portable,Objet trouvé,2022-12-30T13:58:43+01:00,2023-01-02T10:30:15+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-30T13:50:37+01:00,2023-01-02T11:34:45+01:00
0087384008,"Bagagerie: sacs, valises, cartables",Paris Saint-Lazare,Sac à main,Objet trouvé,2022-12-30T13:41:48+01:00,2022-12-30T13:47:38+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-30T13:39:23+01:00,
0087686006,"Vêtements, chaussures",Paris Gare de Lyon,"Manteau, veste, blazer, parka, blouson, cape",Objet trouvé,2022-12-30T13:24:25+01:00,2023-01-19T11:45:09+01:00
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2022-12-30T13:22:56+01:00,2023-02-05T10:18:59+01:00
0087686006,Optique,Paris Gare de Lyon,Lunettes,Objet trouvé,2022-12-30T13:18:33+01:00,
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,Sac à main,Objet trouvé,2022-12-30T13:18:07+01:00,2023-01-03T14:18:23+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à main,Objet trouvé,2022-12-30T13:13:52+01:00,2023-01-29T14:27:44+01:00
0087686006,"Articles d'enfants, de puériculture",Paris Gare de Lyon,"Autres articles enfants, bébé",Objet trouvé,2022-12-30T13:09:10+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-30T13:07:13+01:00,2022-12-30T13:25:51+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2022-12-30T12:55:13+01:00,2022-12-31T07:28:28+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,Sac à dos,Objet trouvé,2022-12-30T12:51:03+01:00,2022-12-30T12:56:46+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2022-12-30T12:47:59+01:00,2022-12-31T08:38:50+01:00
0087384008,"Articles de sport, loisirs, camping",Paris Saint-Lazare,"Outils, Accesoires",Objet trouvé,2022-12-30T12:24:09+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-30T12:16:05+01:00,
0087686006,Optique,Paris Gare de Lyon,Lunettes en étui,Objet trouvé,2022-12-30T12:04:37+01:00,
0087686006,Parapluies,Paris Gare de Lyon,"Parapluie télescopique, parapluie de poche",Objet trouvé,2022-12-30T12:00:18+01:00,
0087686006,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,"Clés, porte-clés",Objet trouvé,2022-12-30T11:56:21+01:00,
0087384008,Pièces d'identités et papiers personnels,Paris Saint-Lazare,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2022-12-30T11:53:33+01:00,2022-12-31T11:45:30+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2022-12-30T11:44:53+01:00,2023-01-13T15:40:51+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2022-12-30T11:23:55+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-30T11:11:15+01:00,2023-02-09T09:37:28+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à main,Objet trouvé,2022-12-30T10:59:08+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-30T10:41:51+01:00,
0087113001,"Bagagerie: sacs, valises, cartables",Paris Est,"Valise, sac sur roulettes",Objet trouvé,2022-12-30T10:35:35+01:00,
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,Téléphone portable,Objet trouvé,2022-12-30T10:25:53+01:00,2022-12-30T11:19:07+01:00
0087113001,"Porte-monnaie / portefeuille, argent, titres",Paris Est,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-30T10:24:21+01:00,2023-03-04T10:25:04+01:00
0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-12-30T10:03:59+01:00,
0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-30T09:59:47+01:00,2023-02-07T21:27:54+01:00
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-30T09:55:47+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-30T09:46:30+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-30T09:41:43+01:00,
0087384008,"Bagagerie: sacs, valises, cartables",Paris Saint-Lazare,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-30T09:37:11+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-12-30T09:36:08+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sacoche ventrale, banane",Objet trouvé,2022-12-30T09:27:38+01:00,2023-03-13T11:06:51+01:00
0087384008,"Appareils électroniques, informatiques, appareils photo",Paris Saint-Lazare,Téléphone portable,Objet trouvé,2022-12-30T08:47:32+01:00,2023-01-13T18:57:51+01:00
0087384008,"Vêtements, chaussures",Paris Saint-Lazare,Gants,Objet trouvé,2022-12-30T08:39:28+01:00,
0087384008,"Bagagerie: sacs, valises, cartables",Paris Saint-Lazare,"Sacoche ventrale, banane",Objet trouvé,2022-12-30T08:24:38+01:00,2022-12-30T20:46:04+01:00
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-30T07:42:15+01:00,
0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2022-12-30T07:39:49+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sacoche ventrale, banane",Objet trouvé,2022-12-29T20:39:35+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-29T20:36:21+01:00,
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,Carte de crédit,Objet trouvé,2022-12-29T20:33:54+01:00,2023-02-01T15:44:32+01:00
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-12-29T20:15:28+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-29T20:14:49+01:00,2022-12-29T20:18:00+01:00
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,Téléphone portable,Objet trouvé,2022-12-29T19:54:27+01:00,2022-12-29T19:58:36+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-29T19:18:35+01:00,2022-12-29T19:24:49+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-29T19:14:10+01:00,2023-01-09T16:52:22+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2022-12-29T19:12:39+01:00,2022-12-29T19:17:17+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,"Valise, sac sur roulettes",Objet trouvé,2022-12-29T19:07:08+01:00,
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-12-29T19:01:35+01:00,2023-01-02T11:42:09+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2022-12-29T18:25:47+01:00,2022-12-29T18:30:49+01:00
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,"Ordinateur, ordinateur portable, notebook protégé (étui, housse,…)",Objet trouvé,2022-12-29T18:09:28+01:00,
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-12-29T17:59:12+01:00,
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,Autre pièce ou papier personnel,Objet trouvé,2022-12-29T17:50:24+01:00,
0087391003,"Clés, porte-clés, badge magnétique",Paris Montparnasse,"Clés, porte-clés",Objet trouvé,2022-12-29T17:46:26+01:00,
0087391003,"Clés, porte-clés, badge magnétique",Paris Montparnasse,Clé de voiture,Objet trouvé,2022-12-29T17:40:58+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2022-12-29T17:34:47+01:00,2023-02-05T11:11:31+01:00
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2022-12-29T17:32:51+01:00,2023-02-01T16:23:25+01:00
0087384008,"Articles d'enfants, de puériculture",Paris Saint-Lazare,"Doudou, peluche",Objet trouvé,2022-12-29T17:24:33+01:00,
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,Tablette tactile,Objet trouvé,2022-12-29T17:24:10+01:00,2023-01-02T17:12:30+01:00
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,Pièce d'identité personnelle et autre,Objet trouvé,2022-12-29T17:17:04+01:00,2023-01-17T10:31:34+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-29T17:10:43+01:00,2022-12-30T12:39:03+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-29T17:02:20+01:00,2022-12-29T17:10:00+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-29T16:37:43+01:00,2023-01-07T11:42:07+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2022-12-29T16:25:16+01:00,2023-01-03T12:45:25+01:00
0087384008,"Bagagerie: sacs, valises, cartables",Paris Saint-Lazare,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-29T15:37:49+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,Autre pièce ou papier personnel,Objet trouvé,2022-12-29T15:30:01+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,Autre pièce ou papier personnel,Objet trouvé,2022-12-29T15:27:45+01:00,
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,Téléphone portable,Objet trouvé,2022-12-29T15:23:54+01:00,
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2022-12-29T15:20:49+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à dos,Objet trouvé,2022-12-29T15:08:43+01:00,2023-01-02T18:16:20+01:00
0087384008,"Porte-monnaie / portefeuille, argent, titres",Paris Saint-Lazare,Carte de crédit,Objet trouvé,2022-12-29T14:56:03+01:00,2023-01-03T11:18:21+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2022-12-29T14:52:45+01:00,2022-12-29T14:57:05+01:00
