gc_obo_gare_origine_r_code_uic_c,gc_obo_type_c,gc_obo_gare_origine_r_name,gc_obo_nature_c,gc_obo_nom_recordtype_sc_c,date,gc_obo_date_heure_restitution_c
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Valise, sac sur roulettes",Objet trouvé,2020-12-31T14:36:35+01:00,
0087113001,"Bagagerie: sacs, valises, cartables",Paris Est,"Valise, sac sur roulettes",Objet trouvé,2020-12-31T14:17:24+01:00,2021-01-02T10:12:15+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-31T12:59:47+01:00,2020-12-31T15:25:01+01:00
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-31T12:59:18+01:00,2021-01-02T17:17:56+01:00
0087686006,"Bijoux, montres",Paris Gare de Lyon,Boucles d'oreilles,Objet trouvé,2020-12-31T12:58:41+01:00,
0087113001,"Appareils électroniques, informatiques, appareils photo",Paris Est,Téléphone portable,Objet trouvé,2020-12-31T12:21:06+01:00,
0087686006,Optique,Paris Gare de Lyon,Lunettes,Objet trouvé,2020-12-31T11:36:26+01:00,
0087686006,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,"Clés, porte-clés",Objet trouvé,2020-12-31T11:33:44+01:00,
0087686006,"Clés, porte-clés, badge magnétique",Paris Gare de Lyon,"Clés, porte-clés",Objet trouvé,2020-12-31T11:26:05+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-31T11:23:13+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,Carte Vitale,Objet trouvé,2020-12-31T11:21:49+01:00,
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-31T11:19:37+01:00,
0087113001,"Porte-monnaie / portefeuille, argent, titres",Paris Est,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-31T11:19:07+01:00,
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,Pièce d'identité personnelle et autre,Objet trouvé,2020-12-31T11:17:28+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-31T11:16:33+01:00,
0087391003,"Clés, porte-clés, badge magnétique",Paris Montparnasse,"Clés, porte-clés",Objet trouvé,2020-12-31T11:14:41+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-31T11:13:50+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-31T11:09:52+01:00,
0087391003,"Clés, porte-clés, badge magnétique",Paris Montparnasse,"Clés, porte-clés",Objet trouvé,2020-12-31T11:04:56+01:00,2021-01-05T08:36:07+01:00
0087391003,"Livres, articles de papéterie",Paris Montparnasse,Livre relié,Objet trouvé,2020-12-31T10:56:53+01:00,
0087686006,Divers,Paris Gare de Lyon,Autres divers,Objet trouvé,2020-12-31T10:44:07+01:00,2021-01-14T12:36:25+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-31T10:36:37+01:00,
0087391003,"Articles de sport, loisirs, camping",Paris Montparnasse,"Outils, Accesoires",Objet trouvé,2020-12-31T10:06:17+01:00,2021-01-02T08:30:24+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à main,Objet trouvé,2020-12-31T09:57:39+01:00,
0087391003,Divers,Paris Montparnasse,Autres divers,Objet trouvé,2020-12-31T09:52:08+01:00,2020-12-31T09:56:53+01:00
0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-31T05:51:54+01:00,2020-12-31T05:57:20+01:00
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-30T22:49:45+01:00,2021-01-04T18:45:24+01:00
0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-12-30T21:53:10+01:00,
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-30T20:08:59+01:00,2021-01-05T13:53:58+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à dos,Objet trouvé,2020-12-30T19:31:32+01:00,
0087391003,"Vêtements, chaussures",Paris Montparnasse,"Foulard, écharpe",Objet trouvé,2020-12-30T18:38:28+01:00,
0087391003,Instruments de musique,Paris Montparnasse,Guitare,Objet trouvé,2020-12-30T18:12:02+01:00,2021-01-05T18:45:25+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-30T17:56:00+01:00,2021-01-05T15:56:37+01:00
0087391003,Optique,Paris Montparnasse,Lunettes,Objet trouvé,2020-12-30T17:47:20+01:00,2021-01-06T15:25:22+01:00
0087391003,Divers,Paris Montparnasse,Autres divers,Objet trouvé,2020-12-30T17:39:16+01:00,
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,Sac à main,Objet trouvé,2020-12-30T17:12:22+01:00,2020-12-30T18:07:52+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à dos,Objet trouvé,2020-12-30T17:11:08+01:00,2020-12-30T17:23:39+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-30T16:52:19+01:00,
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,"Appareil audio portable (lecteur de CD, baladeur MP3, iPod, ... )",Objet trouvé,2020-12-30T16:49:27+01:00,
0087686006,"Vêtements, chaussures",Paris Gare de Lyon,Gants,Objet trouvé,2020-12-30T16:47:08+01:00,
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-30T16:37:55+01:00,2021-01-06T14:33:26+01:00
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-30T16:30:28+01:00,2021-01-02T15:07:02+01:00
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,Pièce d'identité personnelle et autre,Objet trouvé,2020-12-30T16:09:21+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à main,Objet trouvé,2020-12-30T15:16:50+01:00,2020-12-30T15:28:54+01:00
0087547000,Pièces d'identités et papiers personnels,Paris Austerlitz,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-30T14:28:42+01:00,2020-12-30T14:31:01+01:00
0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-30T13:30:47+01:00,2021-01-02T20:15:20+01:00
0087686667,Pièces d'identités et papiers personnels,Paris Bercy,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-30T13:03:35+01:00,
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,"Tablette tactile protégée (étui, housse)",Objet trouvé,2020-12-30T13:01:55+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Nécessaire, mallette de toilette, sac de maquillage",Objet trouvé,2020-12-30T12:50:06+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-12-30T12:44:33+01:00,2021-01-11T14:37:01+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Valise, sac sur roulettes",Objet trouvé,2020-12-30T12:31:07+01:00,2020-12-30T13:28:26+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Valise, sac sur roulettes",Objet trouvé,2020-12-30T12:01:43+01:00,2020-12-31T14:54:55+01:00
0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Autres appareils et accessoires électroniques,Objet trouvé,2020-12-30T11:50:49+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2020-12-30T11:37:20+01:00,
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-30T11:36:10+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2020-12-30T11:33:59+01:00,
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-30T10:58:20+01:00,2021-01-02T16:41:19+01:00
0087391003,"Articles d'enfants, de puériculture",Paris Montparnasse,"Doudou, peluche",Objet trouvé,2020-12-30T09:45:55+01:00,2021-01-15T19:46:43+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-30T08:20:38+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Attaché-case, serviette",Objet trouvé,2020-12-30T08:16:42+01:00,2020-12-30T12:40:18+01:00
0087391003,"Vélos, trottinettes, accessoires 2 roues",Paris Montparnasse,"Casque (vélo, moto)",Objet trouvé,2020-12-30T08:07:08+01:00,
0087113001,"Appareils électroniques, informatiques, appareils photo",Paris Est,Téléphone portable,Objet trouvé,2020-12-30T08:00:32+01:00,2021-01-15T14:40:49+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-29T21:47:08+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Attaché-case, serviette",Objet trouvé,2020-12-29T21:44:52+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-12-29T21:39:19+01:00,
0087391003,"Livres, articles de papéterie",Paris Montparnasse,"Agenda, calendrier",Objet trouvé,2020-12-29T20:17:59+01:00,
0087391003,"Vêtements, chaussures",Paris Montparnasse,"Manteau, veste, blazer, parka, blouson, cape",Objet trouvé,2020-12-29T19:10:58+01:00,
0087391003,"Vêtements, chaussures",Paris Montparnasse,"Manteau, veste, blazer, parka, blouson, cape",Objet trouvé,2020-12-29T19:02:58+01:00,2020-12-29T20:03:03+01:00
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,Carte d'abonnement,Objet trouvé,2020-12-29T18:37:25+01:00,
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-29T18:23:09+01:00,2020-12-30T13:21:39+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à main,Objet trouvé,2020-12-29T18:07:23+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Valise, sac sur roulettes",Objet trouvé,2020-12-29T17:55:38+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2020-12-29T17:11:41+01:00,2020-12-29T17:23:37+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Nécessaire, mallette de toilette, sac de maquillage",Objet trouvé,2020-12-29T16:34:30+01:00,2020-12-29T17:44:46+01:00
0087686006,Optique,Paris Gare de Lyon,Lunettes,Objet trouvé,2020-12-29T16:26:46+01:00,
0087686006,"Vêtements, chaussures",Paris Gare de Lyon,"Foulard, écharpe",Objet trouvé,2020-12-29T16:20:20+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-29T16:18:08+01:00,
0087391003,Parapluies,Paris Montparnasse,"Parapluie-canne, parapluie à bandoulière",Objet trouvé,2020-12-29T16:11:23+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Valise, sac sur roulettes",Objet trouvé,2020-12-29T16:11:16+01:00,2020-12-29T17:37:45+01:00
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,Carte Vitale,Objet trouvé,2020-12-29T16:03:38+01:00,2021-01-08T14:34:05+01:00
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,Autre pièce ou papier personnel,Objet trouvé,2020-12-29T15:56:45+01:00,2021-01-18T16:04:18+01:00
0087391003,"Vêtements, chaussures",Paris Montparnasse,"Bonnet, chapeau",Objet trouvé,2020-12-29T15:52:13+01:00,
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-29T15:46:24+01:00,
0087391003,"Vêtements, chaussures",Paris Montparnasse,"Bonnet, chapeau",Objet trouvé,2020-12-29T15:45:35+01:00,
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-29T15:18:05+01:00,2020-12-29T17:11:36+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,Sac à main,Objet trouvé,2020-12-29T15:07:13+01:00,2020-12-29T15:15:18+01:00
0087113001,"Bagagerie: sacs, valises, cartables",Paris Est,Sac à dos,Objet trouvé,2020-12-29T14:58:04+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à dos,Objet trouvé,2020-12-29T14:44:52+01:00,2021-02-12T08:21:36+01:00
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,Carte de crédit,Objet trouvé,2020-12-29T14:41:14+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-12-29T14:40:43+01:00,
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2020-12-29T14:28:49+01:00,2020-12-31T14:57:22+01:00
0087686006,"Appareils électroniques, informatiques, appareils photo",Paris Gare de Lyon,"AirPod, casque audio, écouteurs",Objet trouvé,2020-12-29T14:24:49+01:00,
0087686006,Optique,Paris Gare de Lyon,Lunettes,Objet trouvé,2020-12-29T14:19:13+01:00,
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2020-12-29T14:14:46+01:00,2020-12-30T15:15:46+01:00
0087686006,"Articles d'enfants, de puériculture",Paris Gare de Lyon,"Cartable, trousse d'écolier, dossier scolaire",Objet trouvé,2020-12-29T14:10:46+01:00,2021-01-08T15:39:56+01:00
0087686006,Divers,Paris Gare de Lyon,Autres divers,Objet trouvé,2020-12-29T14:06:56+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2020-12-29T13:57:43+01:00,2021-01-02T11:13:13+01:00
0087686006,"Articles de sport, loisirs, camping",Paris Gare de Lyon,"Sacs de couchage, duvet",Objet trouvé,2020-12-29T13:53:36+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Valise, sac sur roulettes",Objet trouvé,2020-12-29T13:47:23+01:00,2021-01-21T12:06:51+01:00
0087391003,"Vêtements, chaussures",Paris Montparnasse,Gants,Objet trouvé,2020-12-29T13:21:06+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2020-12-29T13:20:24+01:00,2021-01-03T16:00:06+01:00
0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-29T13:20:11+01:00,2021-01-05T12:31:43+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-29T13:16:15+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2020-12-29T13:09:07+01:00,2020-12-30T13:00:33+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Valise, sac sur roulettes",Objet trouvé,2020-12-29T13:05:00+01:00,
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-29T12:59:03+01:00,2021-01-23T14:23:52+01:00
0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-12-29T12:57:38+01:00,2020-12-29T13:01:15+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Sacoche ventrale, banane",Objet trouvé,2020-12-29T12:54:33+01:00,2021-01-07T13:46:45+01:00
0087686006,"Articles d'enfants, de puériculture",Paris Gare de Lyon,"Cartable, trousse d'écolier, dossier scolaire",Objet trouvé,2020-12-29T12:45:31+01:00,2021-01-08T15:32:31+01:00
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-29T12:41:15+01:00,
0087686006,Articles médicaux,Paris Gare de Lyon,Déambulateur,Objet trouvé,2020-12-29T12:38:32+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-29T12:35:17+01:00,
0087391003,Divers,Paris Montparnasse,Autres divers,Objet trouvé,2020-12-29T12:32:43+01:00,2021-01-29T16:23:13+01:00
0087113001,"Bagagerie: sacs, valises, cartables",Paris Est,"Valise, sac sur roulettes",Objet trouvé,2020-12-29T11:22:55+01:00,2021-01-02T10:39:45+01:00
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-29T10:42:27+01:00,
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,"Valise, sac sur roulettes",Objet trouvé,2020-12-29T10:32:47+01:00,2020-12-29T15:23:22+01:00
0087113001,"Appareils électroniques, informatiques, appareils photo",Paris Est,Téléphone portable,Objet trouvé,2020-12-29T10:26:40+01:00,2021-01-06T11:51:52+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,Sac à main,Objet trouvé,2020-12-29T10:20:23+01:00,2020-12-29T10:45:52+01:00
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,Carte de crédit,Objet trouvé,2020-12-29T09:59:21+01:00,
0087686006,"Porte-monnaie / portefeuille, argent, titres",Paris Gare de Lyon,Carte de crédit,Objet trouvé,2020-12-29T09:55:50+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-29T09:53:29+01:00,
0087686006,Pièces d'identités et papiers personnels,Paris Gare de Lyon,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2020-12-29T09:51:16+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,Sac à main,Objet trouvé,2020-12-29T09:17:30+01:00,2020-12-29T11:27:20+01:00
0087113001,"Appareils électroniques, informatiques, appareils photo",Paris Est,Téléphone portable,Objet trouvé,2020-12-29T09:01:54+01:00,2020-12-30T09:02:17+01:00
0087391003,Optique,Paris Montparnasse,Lunettes,Objet trouvé,2020-12-28T23:08:12+01:00,
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,Carte d'abonnement,Objet trouvé,2020-12-28T23:06:16+01:00,
0087391003,"Livres, articles de papéterie",Paris Montparnasse,"Article de papéterie, stylo, classeur",Objet trouvé,2020-12-28T23:04:08+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-12-28T22:50:09+01:00,2020-12-29T09:28:10+01:00
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-28T22:34:36+01:00,2020-12-29T17:17:27+01:00
0087391003,"Livres, articles de papéterie",Paris Montparnasse,Autres articles de papeterie,Objet trouvé,2020-12-28T22:29:54+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Valise, sac sur roulettes",Objet trouvé,2020-12-28T22:23:10+01:00,
0087391003,"Bagagerie: sacs, valises, cartables",Paris Montparnasse,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-12-28T22:05:02+01:00,
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,Téléphone portable,Objet trouvé,2020-12-28T20:56:54+01:00,2021-01-02T15:17:09+01:00
0087391003,Pièces d'identités et papiers personnels,Paris Montparnasse,Carte d'abonnement,Objet trouvé,2020-12-28T20:46:29+01:00,2021-01-02T14:59:04+01:00
0087271007,"Porte-monnaie / portefeuille, argent, titres",Paris Gare du Nord,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-28T18:55:21+01:00,
0087391003,"Porte-monnaie / portefeuille, argent, titres",Paris Montparnasse,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-28T18:44:03+01:00,2020-12-28T18:54:21+01:00
0087686006,"Bagagerie: sacs, valises, cartables",Paris Gare de Lyon,Sac à dos,Objet trouvé,2020-12-28T18:42:42+01:00,2020-12-28T18:46:43+01:00
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,Téléphone portable,Objet trouvé,2020-12-28T18:00:35+01:00,2020-12-28T18:10:26+01:00
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-12-28T16:51:54+01:00,
0087113001,"Porte-monnaie / portefeuille, argent, titres",Paris Est,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-28T14:17:04+01:00,2021-01-04T09:32:31+01:00
0087113001,"Porte-monnaie / portefeuille, argent, titres",Paris Est,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-28T13:28:38+01:00,
0087113001,"Bagagerie: sacs, valises, cartables",Paris Est,Sac à dos,Objet trouvé,2020-12-28T13:19:22+01:00,
0087113001,"Bagagerie: sacs, valises, cartables",Paris Est,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-12-28T13:12:38+01:00,2020-12-30T15:25:06+01:00
0087271007,"Appareils électroniques, informatiques, appareils photo",Paris Gare du Nord,"Ordinateur, ordinateur portable, notebook protégé (étui, housse,…)",Objet trouvé,2020-12-28T12:32:34+01:00,
0087271007,"Bagagerie: sacs, valises, cartables",Paris Gare du Nord,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-12-28T12:20:51+01:00,
0087271007,"Porte-monnaie / portefeuille, argent, titres",Paris Gare du Nord,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-28T12:08:56+01:00,2021-01-05T08:52:54+01:00
0087271007,"Appareils électroniques, informatiques, appareils photo",Paris Gare du Nord,"Téléphone portable protégé (étui, coque,…)",Objet trouvé,2020-12-28T11:48:53+01:00,
0087391003,Optique,Paris Montparnasse,Lunettes,Objet trouvé,2020-12-28T11:43:14+01:00,2021-01-05T19:08:51+01:00
0087391003,Optique,Paris Montparnasse,Lunettes,Objet trouvé,2020-12-28T11:37:32+01:00,2021-01-07T12:28:46+01:00
0087271007,"Appareils électroniques, informatiques, appareils photo",Paris Gare du Nord,Téléphone portable,Objet trouvé,2020-12-28T11:34:45+01:00,
0087391003,"Appareils électroniques, informatiques, appareils photo",Paris Montparnasse,"Tablette tactile protégée (étui, housse)",Objet trouvé,2020-12-28T11:30:46+01:00,2020-12-29T09:31:12+01:00
